S.No,Year,Title,Author,DOI,,,,,Abstract
,2022,Crosstalk of Synapsin1 palmitoylation and phosphorylation controls the dynamicity of synaptic vesicles in neurons,"Yan, Peipei",https://doi.org/10.1038/s41419-022-05235-4,0,0,0,0,"<p>The dynamics of synaptic vesicles (SVs) within presynaptic domains are tightly controlled by synapsin1 phosphorylation; however, the mechanism underlying the anchoring of synapsin1 with F-actin or SVs is not yet fully understood. Here, we found that Syn1 is modified with protein palmitoylation, and examining the roles of Syn1 palmitoylation in neurons led us to uncover that Syn1 palmitoylation is negatively regulated by its phosphorylation; together, they manipulate the clustering and redistribution of SVs. Using the combined approaches of electron microscopy and genetics, we revealed that Syn1 palmitoylation is vital for its binding with F-actin but not SVs. Inhibition of Syn1 palmitoylation causes defects in SVs clustering and a reduced number of total SVs in vivo. We propose a model in which SVs redistribution is triggered by upregulated Syn1 phosphorylation and downregulated Syn1 palmitoylation, and they reversibly promote SVs clustering. The crosstalk of Syn1 palmitoylation and phosphorylation thereby bidirectionally manipulates SVs dynamics in neurons.</p>"
,2022,Bidirectional protein–protein interactions control liquid–liquid phase separation of PSD-95 and its interaction partners,"Christensen, Nikolaj Riis",https://doi.org/10.1016/j.isci.2022.103808,0,0,0,0,
,2020,Nanomechanics of π-cation-π interaction with implications for bio-inspired wet adhesion,"Xiang, Li",https://doi.org/10.1016/j.actbio.2020.09.043,0,0,0,0,
,2019,Adjacent cationic–aromatic sequences yield strong electrostatic adhesion of hydrogels in seawater,"Fan, Hailong",https://doi.org/10.1038/s41467-019-13171-9,0,0,0,0,"<p>Electrostatic interaction is strong but usually diminishes in high ionic-strength environments. Biosystems can use this interaction through adjacent cationic–aromatic amino acids sequence of proteins even in a saline medium. Application of such specific sequence to the development of cationic polymer materials adhesive to negatively charged surfaces in saline environments is challenging due to the difficulty in controlling the copolymer sequences. Here, we discover that copolymers with adjacent cation–aromatic sequences can be synthesized through cation–π complex-aided free-radical polymerization. Sequence controlled hydrogels from diverse cation/aromatic monomers exhibit fast, strong but reversible adhesion to negatively charged surfaces in seawater. Aromatics on copolymers are found to enhance the electrostatic interactions of their adjacent cationic residues to the counter surfaces, even in a high ionic-strength medium that screens the electrostatic interaction for common polyelectrolytes. This work opens a pathway to develop adhesives using saline water.</p>"
,2020,Competitive cation−π interactions between small cations and polycations with phenyl groups in poly(cation−π) hydrogels,"Fan, Hailong",https://doi.org/10.1016/j.giant.2020.100005,0,0,0,0,
,2015,The leading role of cation–π interactions in polymer chemistry: the control of the helical sense in solution,"Arias, Sandra",https://doi.org/10.1039/C5PY00587F,0,0,0,0,<p> Cation–π interactions determine the helical sense adopted by a polyphenylacetylene bearing ( <italic>R</italic> )-α-methoxy-α-phenylacetamide as a pendant group (poly- <bold>1</bold> ). </p>
,2024,Structural basis of α-latrotoxin transition to a cation-selective pore,"Klink, B. U.",https://doi.org/10.1038/s41467-024-52635-5,0,0,0,0,"<p> The potent neurotoxic venom of the black widow spider contains a cocktail of seven phylum-specific latrotoxins (LTXs), but only one, α-LTX, targets vertebrates. This 130 kDa toxin binds to receptors at presynaptic nerve terminals and triggers a massive release of neurotransmitters. It is widely accepted that LTXs tetramerize and insert into the presynaptic membrane, thereby forming Ca <sup>2+</sup> -conductive pores, but the underlying mechanism remains poorly understood. LTXs are homologous and consist of an N-terminal region with three distinct domains, along with a C-terminal domain containing up to 22 consecutive ankyrin repeats. Here we report cryoEM structures of the vertebrate-specific α-LTX tetramer in its prepore and pore state. Our structures, in combination with AlphaFold2-based structural modeling and molecular dynamics simulations, reveal dramatic conformational changes in the N-terminal region of the complex. Four distinct helical bundles rearrange and together form a highly stable, 15 nm long, cation-impermeable coiled-coil stalk. This stalk, in turn, positions an N-terminal pair of helices within the membrane, thereby enabling the assembly of a cation-permeable channel. Taken together, these data give insight into a unique mechanism for membrane insertion and channel formation, characteristic of the LTX family, and provide the necessary framework for advancing novel therapeutics and biotechnological applications. </p>"
,2011,The reserve pool of synaptic vesicles acts as a buffer for proteins involved in synaptic vesicle recycling,"Denker, Annette",https://doi.org/10.1073/pnas.1112690108,0,0,0,0,"<p>Presynaptic nerve terminals contain between several hundred vesicles (for example in small CNS synapses) and several tens of thousands (as in neuromuscular junctions). Although it has long been assumed that such high numbers of vesicles are required to sustain neurotransmission during conditions of high demand, we found that activity in vivo requires the recycling of only a few percent of the vesicles. However, the maintenance of large amounts of reserve vesicles in many evolutionarily distinct species suggests that they are relevant for synaptic function. We suggest here that these vesicles constitute buffers for soluble accessory proteins involved in vesicle recycling, preventing their loss into the axon. Supporting this hypothesis, we found that vesicle clusters contain a large variety of proteins needed for vesicle recycling, but without an obvious function within the clusters. Disrupting the clusters by application of black widow spider venom resulted in the diffusion of numerous soluble proteins into the axons. Prolonged stimulation and ionomycin application had a similar effect, suggesting that calcium influx causes the unbinding of soluble proteins from vesicles. Confirming this hypothesis, we found that isolated synaptic vesicles in vitro sequestered soluble proteins from the cytosol in a process that was inhibited by calcium addition. We conclude that the reserve vesicles support neurotransmission indirectly, ensuring that soluble recycling proteins are delivered upon demand during synaptic activity.</p>"
,2012,"A theoretical study of cation--π interactions: Li+, Na+, K+, Be2+, Mg2+ and Ca2+ complexation with mono- and bicyclic ring-fused benzene derivatives","Dinadayalane, Tandabany C.",https://doi.org/10.1007/s00214-012-1131-0,0,0,0,0,
,2013,The Cation−π Interaction,"Dougherty, Dennis A.",https://doi.org/10.1021/ar300265y,0,0,0,0,
,2023,Cross-Talk of Cation−π Interactions with Electrostatic and Aromatic Interactions: A Salt-Dependent Trade-off in Biomolecular Condensates,"Hazra, Milan Kumar",https://doi.org/10.1021/acs.jpclett.3c01642,0,0,0,0,
